"osm_id","fclass","name","source_layer","footfall_domingo","footfall_lunes","footfall_martes","footfall_miercoles","footfall_jueves","footfall_viernes","footfall_sabado","footfall_manana_weekend","footfall_tarde_weekend","footfall_noche_weekend","footfall_madrugada_weekend","footfall_manana_semana","footfall_tarde_semana","footfall_noche_semana","footfall_madrugada_semana","avg_dwell","max_dwell","min_dwell","repeat_visit_rate_daily","peak_hour_weekday","peak_visits_weekday","peak_hour_weekend","peak_visits_weekend","total_devices","horas_con_movimiento_semana","horas_con_movimiento_finsemana"
"400049743","building","Las Flores","gis_osm_buildings_a_free_1","0.0","4.0","6.0","3.0","11.0","5.0","7.0","4.0","1.0","2.0","0.0","10.0","15.0","7.0","0.0","7230.0","35759","159","1.09","15","6","11","3","33","17","7"
"400334790","building","Plaza Medica San Francisco","gis_osm_buildings_a_free_1","1.0","7.0","6.0","8.0","6.0","6.0","10.0","9.0","1.0","0.0","1.0","21.0","13.0","1.0","0.0","3275.0","14519","63","1.19","11","10","11","6","37","12","5"
"1204267171","residential","PARK TOWER","gis_osm_landuse_a_free_1","4.0","5.0","4.0","8.0","10.0","7.0","9.0","0.0","8.0","4.0","1.0","10.0","10.0","14.0","0.0","0.0","0","0","1.12","19","5","14","3","42","14","7"
"398069344","building","Maxi Despensa San Bartolo","gis_osm_buildings_a_free_1","3.0","3.0","9.0","4.0","5.0","7.0","3.0","3.0","4.0","0.0","0.0","12.0","9.0","7.0","1.0","10196.0","146433","214","1.26","10","5","12","2","27","14","6"
"1238384773","nature_reserve","Área Natural Protegida Islas del Golfo de Fonseca","gis_osm_landuse_a_free_1","5.0","3.0","2.0","5.0","3.0","4.0","2.0","6.0","5.0","5.0","6.0","16.0","14.0","13.0","11.0","0.0","0","0","4.8","12","3","12","2","5","24","23"
"818256858","park","Boulevard Los Héroes Sur","gis_osm_landuse_a_free_1","11.0","11.0","6.0","6.0","5.0","6.0","8.0","9.0","8.0","3.0","3.0","16.0","9.0","11.0","3.0","143.0","143","143","2.04","18","6","10","4","26","18","14"
"1153952920","forest","Bosque Cafetalero","gis_osm_landuse_a_free_1","10.0","6.0","10.0","6.0","10.0","13.0","7.0","4.0","6.0","5.0","3.0","12.0","21.0","18.0","7.0","0.0","0","0","3.1","12","5","18","3","20","23","16"
"378566165","commercial","Plaza Sagitario","gis_osm_landuse_a_free_1","2.0","13.0","7.0","4.0","2.0","5.0","6.0","2.0","4.0","3.0","0.0","15.0","13.0","4.0","0.0","10751.0","150940","184","1.11","10","8","14","3","35","14","9"
"983366107","fuel","Puma","gis_osm_traffic_a_free_1","8.0","11.0","2.0","6.0","5.0","10.0","8.0","5.0","0.0","7.0","4.0","9.0","9.0","16.0","2.0","0.0","0","0","1.35","23","4","20","3","37","17","11"
"1222382916","building","Embajada de Francia","gis_osm_buildings_a_free_1","6.0","10.0","2.0","9.0","6.0","3.0","12.0","7.0","11.0","0.0","0.0","6.0","17.0","7.0","0.0","0.0","0","0","1.2","13","7","12","3","40","12","11"
"400804414","building","Wendy's","gis_osm_buildings_a_free_1","4.0","4.0","8.0","6.0","5.0","4.0","5.0","4.0","4.0","4.0","0.0","11.0","18.0","14.0","0.0","47471.0","282710","64","1.89","14","4","9","3","19","13","11"
"1199513320","building","Oficinas Administrativas BAC Credomatic","gis_osm_buildings_a_free_1","0.0","12.0","14.0","5.0","9.0","7.0","6.0","1.0","5.0","0.0","0.0","31.0","30.0","1.0","0.0","0.0","0","0","2.79","11","9","14","1","19","12","5"
